"ID","US_ENG","US_FRA","US_SPA","EU_ENG","EU_FRA","EU_ITA","EU_GER","EU_SPA","EU_NED"
"BT000","TMNT: Smash-Up","TMNT: Smash-Up","TMNT: Smash-Up","TMNT: Smash-Up","TMNT: Smash-Up","TMNT: Smash-Up","TMNT: Smash-Up","TMNT: Smash-Up","TMNT: Smash-Up"
"BT002","TMNT: Smash-Up
Cowabunga!","TMNT: Smash-Up
Cowabunga!","TMNT: Smash-Up
Cowabunga!","TMNT: Smash-Up
Cowabunga!","TMNT: Smash-Up
Cowabunga!","TMNT: Smash-Up
Cowabunga!","TMNT: Smash-Up
Cowabunga!","TMNT: Smash-Up
Cowabunga!","TMNT: Smash-Up
Cowabunga!"
"DISC_01","Please insert the TMNT: Smash-Up disc.","Veuillez insérer le disque
TMNT: Smash-Up.","Por favor, inserta el disco TMNT: Smash-Up.","Please insert the TMNT: Smash-Up Disc.","Veuillez insérer le disque TMNT: Smash-Up.","Inserisci il disco di TMNT: Smash-Up.","Bitte schiebe die TMNT: Smash Up -Disc ein.","Inserta el disco de TMNT: Smash-Up.","Voer de disk van TMNT: Smash-Up in."
"DISC_02","Please insert the TMNT: Smash-Up disc.","Veuillez insérer le disque
TMNT: Smash-Up.","Por favor, inserta el disco TMNT: Smash-Up.","Please insert the TMNT: Smash-Up Disc.","Veuillez insérer le disque TMNT: Smash-Up.","Inserisci il disco di TMNT: Smash-Up.","Bitte schiebe die TMNT: Smash Up -Disc ein.","Inserta el disco de TMNT: Smash-Up.","Voer de disk van TMNT: Smash-Up in."
"DISC_03","The Game Disc could not be read. 
Refer to the Wii Operations Manual 
for details.","Impossible de lire le disque.
Veuillez vous référer au Mode d'emploi 
de la Wii pour plus de détails.","No se puede leer el disco.
Consulta el manual de
operaciones de la consola Wii
para obtener más información.","The Disc could not be read. 
Please refer to the Wii Operations Manual for details.","Impossible de lire le disque.
Veuillez vous référer au mode d'emploi 
Wii pour plus de détails.","Impossibile leggere il disco. 
Per maggiori informazioni, consulta il manuale 
di istruzioni della console Wii.","Diese Disc kann nicht gelesen werden. 
Bitte lies die Wii-Bedienungsanleitung, 
um weitere Informationen zu erhalten.","No se puede leer el disco.
Consulta el manual de
instrucciones de la consola Wii
para obtener más información.","De disk kan niet worden gelezen. 
Lees de Wii-handleiding voor meer informatie."
"DISC_04","An error has occurred.

Press the Eject Button, remove the 
Game Disc, and turn off the power to 
the console. 
Please read the Wii Operations Manual 
for further instructions.","Une erreur est survenue.

Appuyez sur le bouton EJECT, retirez le 
disque et éteignez la console. 
Veuillez vous référer au Mode d'emploi 
de la Wii pour plus de détails.","Ocurrió un Error.

Oprime el Botón EJECT, saca el disco y 
apaga la consola. Consulta el manual de 
operaciones de la consola Wii para 
obtener más información.","An error has occurred.

Press the EJECT Button, remove the Disc, 
and turn off the power to the console. 
Please refer to the Wii Operations Manual 
for details.","Une erreur est survenue.

Appuyez sur le bouton EJECT, retirez le disque 
et éteignez la console. Veuillez vous référer au 
mode d'emploi Wii pour plus de détails.","Si è verificato un errore.

Premi il pulsante EJECT, estrai il disco e spegni 
la console. Per maggiori informazioni, consulta 
il manuale di istruzioni della console Wii.","Ein Fehler ist aufgetreten.

Drücke den Ausgabeknopf, entnimm die Disc 
und schalte die Wii-Konsole aus. Bitte lies 
die Wii-Bedienungsanleitung, um weitere 
Informationen zu erhalten.","Se ha producido un error.

Pulsa el Botón EJECT, extrae el disco y 
apaga la consola. Consulta el manual de 
instrucciones de la consola Wii para 
obtener más información.","Er is een fout opgetreden.

Druk op de EJECT-knop, verwijder de disk 
en zet het Wii-systeem uit. 
Lees de handleiding voor meer informatie."
"CONT_03","Do not insert or remove the 
extension controller.","Ne branchez et ne débranchez aucune 
manette d'extension.","No conectes ni desconectes
ningún control complementario.","Do not insert or remove the External Extension Controller.","Ne branchez et ne débranchez 
aucune manette d'extension.","Non collegare o scollegare 
controller complementari.","Zusatz-Controller weder 
einstecken noch entfernen.","No conectes ni desconectes
ningún mando complementario.","Bevestig of verwijder de secundaire 
Controller niet."
"CONT_04","The Wii Remote is experiencing an error. 
Refer to the Wii Operations Manual for details.","Une erreur est survenue avec la manette 
Wii Remote. Veuillez vous référer au 
Mode d'emploi de la Wii pour plus de 
détails.","Error del Wii Remote.
Consulta el manual de operaciones
de la consola Wii para obtener más
información.","The Wii Remote is experiencing an error. 
Please refer to the Wii Operations 
Manual for details.","Une erreur est survenue avec la 
télécommande Wii. Veuillez vous référer 
au mode d'emploi Wii pour plus de détails.","Si è verificato un errore con il
telecomando Wii. Per maggiori
informazioni, consulta il manuale 
di istruzioni della console Wii.","Im Zusammenhang mit der 
Wii-Fernbedienung ist ein Fehler 
aufgetreten. Bitte lies die 
Wii-Bedienungsanleitung, 
um weitere Informationen zu erhalten.","Error del mando de Wii.
Consulta el manual de 
instrucciones de la consola 
Wii para obtener más información.","Er is een fout opgetreden met de 
Wii-afstandsbediening. Lees de 
handleiding voor meer informatie."
"CONT_05","The Wii Remote memory either 
contains no data or is corrupted.","La mémoire de la manette Wii 
Remote est endommagée ou 
ne contient aucune donnée.","La memoria del Wii Remote
está dañada o no contiene datos.","The Wii Remote memory either 
contains no data or is corrupted.","Soit la mémoire de la télécommande 
Wii est corrompue, soit elle ne 
contient pas de données.","La memoria del telecomando Wii non 
contiene dati oppure è danneggiata.","Der Speicher der Wii-Fernbedienung 
enthält keine Daten oder ist fehlerhaft.","La memoria del mando de Wii está 
vacía o contiene datos dañados.","De gegevens op de Wii-afstandsbediening 
zijn beschadigd."
"CONT_99","The Wii Remote memory either 
contains no data or is corrupted.

Overwrite data?","La mémoire de la manette Wii 
Remote est endommagée ou 
ne contient aucune donnée.
 
Voulez-vous les écraser?","La memoria del Wii Remote
está dañada o no contiene datos.

¿Quieres sobrescribirlos?","The Wii Remote memory either 
contains no data or is corrupted.

Overwrite data?","Soit la mémoire de la télécommande 
Wii est corrompue, soit elle ne 
contient pas de données.

Voulez-vous les écraser?","La memoria del telecomando Wii non 
contiene dati oppure è danneggiata.

Vuoi sovrascriverli?","Der Speicher der Wii-Fernbedienung 
enthält keine Daten oder ist fehlerhaft.

Diese Daten überschreiben?","La memoria del mando de Wii está 
vacía o contiene datos dañados.

¿Quieres sobrescribirlos?","De gegevens op de Wii-afstandsbediening 
zijn beschadigd.

Wil je die overschrijven?"
"CONT_06","Data for a game other than 
TMNT: Smash-Up is currently 
in Wii Remote memory.

Overwrite data?","Des données autres que celles de
TMNT: Smash-Up se trouvent déjà 
sur la manette Wii Remote. 

Voulez-vous les écraser?","La memoria del Wii Remote
contiene datos que no son
de TMNT: Smash-Up.

¿Quieres sobrescribirlos?","Data for a game other than 
TMNT: Smash-Up is currently 
in the Wii Remote memory. 

Overwrite data?","Des données autres que celles de
TMNT: Smash-Up se trouvent déjà 
sur la télécommande Wii. 

Voulez-vous les écraser?","Nella memoria del telecomando Wii 
si trovano dati di un software 
diverso da TMNT: Smash-Up. 

Vuoi sovrascriverli?","Im Speicher der Wii-Fernbedienung
 befinden sich Daten, die nicht zu 
TMNT: Smash Up gehören. 

Diese Daten überschreiben?","La memoria del mando de Wii
contiene datos que no son
de TMNT: Smash-Up.

¿Quieres sobrescribirlos?","Andere gegevens dan die van
TMNT: Smash-Up staan al op de 
Wii-afstandsbediening. 

Wil je die overschrijven?"
